[2016-11-20 10:05:20] EDIT domotica/controllers/default.py: -5
[2016-11-20 10:05:35] EDIT domotica/controllers/default.py: 0
[2016-11-20 10:06:31] EDIT domotica/controllers/default.py: 0
[2016-11-20 10:07:01] EDIT domotica/controllers/default.py: 0
[2016-11-20 10:07:18] EDIT domotica/controllers/default.py: 0
[2016-11-20 10:08:06] EDIT domotica/controllers/default.py: 0
[2016-11-20 10:10:25] EDIT domotica/models/scheduer.py: 0
[2016-11-20 10:10:44] EDIT domotica/models/scheduer.py: 1
[2016-11-20 10:11:52] EDIT domotica/models/scheduer.py: 1
[2016-11-20 10:23:03] EDIT domotica/controllers/default.py: 0
[2016-11-20 10:24:12] EDIT domotica/controllers/default.py: 0
[2016-11-20 10:35:29] EDIT domotica/models/roll.py: 1
[2016-11-20 10:40:00] EDIT domotica/models/roll.py: 1
[2016-11-20 10:41:38] EDIT domotica/models/roll.py: 1
[2016-11-20 10:41:57] EDIT domotica/models/roll.py: 0
[2016-11-20 10:46:14] EDIT domotica/models/roll.py: 0
[2016-11-20 10:46:23] EDIT domotica/models/roll.py: 0
[2016-11-20 10:47:08] EDIT domotica/models/roll.py: 3
[2016-11-20 10:51:15] EDIT domotica/controllers/default.py: 2
[2016-11-20 10:51:29] EDIT domotica/controllers/default.py: 0
[2016-11-20 10:52:49] EDIT domotica/controllers/default.py: 0
[2016-11-20 10:58:25] EDIT domotica/models/roll.py: 0
[2016-11-20 10:58:58] EDIT domotica/controllers/default.py: 1
[2016-11-20 10:59:11] EDIT domotica/controllers/default.py: -1
[2016-11-20 10:59:41] EDIT domotica/controllers/default.py: 0
[2016-11-20 11:01:02] EDIT domotica/controllers/default.py: -1
[2016-11-20 11:17:24] EDIT domotica/models/roll.py: -59
[2016-11-20 11:17:59] DELETE domotica/models/roll.py: 0
[2016-11-20 11:20:11] EDIT domotica/models/db.py: 2
[2016-11-20 11:20:56] EDIT domotica/controllers/default.py: 52
[2016-11-20 11:22:20] EDIT domotica/controllers/default.py: 0
[2016-11-20 11:23:07] EDIT domotica/controllers/default.py: 0
[2016-11-20 11:23:26] EDIT domotica/controllers/default.py: 1
[2016-11-20 11:23:48] EDIT domotica/controllers/default.py: 0
[2016-11-20 11:24:30] EDIT domotica/controllers/default.py: 0
[2016-11-20 11:25:03] EDIT domotica/controllers/default.py: 3
[2016-11-20 11:29:23] EDIT domotica/controllers/default.py: 0
[2016-11-20 11:32:05] EDIT domotica/models/db.py: 10
[2016-11-20 11:32:30] EDIT domotica/models/db.py: 39
[2016-11-20 11:34:00] EDIT domotica/models/db.py: -2
[2016-11-20 11:34:58] EDIT domotica/models/db.py: 0
[2016-11-20 11:36:06] EDIT domotica/models/scheduer.py: 2
[2016-11-20 11:40:57] EDIT domotica/models/scheduer.py: 0
[2016-11-20 11:44:16] EDIT domotica/models/scheduer.py: 8
[2016-11-20 11:44:20] EDIT domotica/models/scheduer.py: 0
[2016-11-20 11:44:28] EDIT domotica/models/scheduer.py: -1
[2016-11-20 11:44:52] EDIT domotica/models/scheduer.py: -17
[2016-11-20 11:45:10] EDIT domotica/models/scheduer.py: -1
[2016-11-20 11:45:16] EDIT domotica/models/scheduer.py: 0
[2016-11-20 11:51:30] EDIT domotica/models/db.py: -1
[2016-11-20 12:02:42] EDIT domotica/models/scheduer.py: 0
[2016-11-20 12:21:36] EDIT domotica/models/scheduer.py: -3
[2016-11-20 12:22:36] EDIT domotica/controllers/default.py: -50
[2016-11-20 12:45:51] EDIT domotica/controllers/default.py: 1
[2016-11-20 12:46:13] EDIT domotica/models/scheduer.py: -1
[2016-11-20 12:46:40] EDIT domotica/models/db.py: 5
[2016-11-20 12:48:09] EDIT domotica/models/scheduer.py: -1
[2016-11-20 12:51:00] EDIT domotica/controllers/default.py: -2
[2016-11-20 13:07:24] EDIT domotica/models/db.py: 0
[2016-11-20 13:07:45] EDIT domotica/models/db.py: 0
[2016-11-20 13:08:08] EDIT domotica/models/scheduer.py: 0
[2016-11-20 13:09:13] EDIT domotica/controllers/default.py: 1
